zawodnik;kraj;punkty;m100;wdal;kula;wzwyz;m400;m110;dysk;tyczka;oszcz;m1500;miejsce
Pascal Behrenbruch;GER;8316;10.95;7.19;15.86;199;48.4;14.46;45.66;470;67.07;277.21;11
Carlos Chinin;BRA;8388;10.78;7.54;14.49;196;48.8;14.05;45.84;510;59.98;276.01;6
Willem Coertzen;RSA;8343;10.95;7.44;13.88;205;48.32;14.3;43.25;450;69.35;264.6;9
Mihail Dudas;SRB;8275;10.67;7.51;13.45;196;47.73;14.59;44.06;490;59.06;266.62;14
Ashton Eaton;USA;8809;10.35;7.73;14.39;193;46.02;13.72;45;520;64.83;269.8;1
Rico Freimuth;GER;8382;10.6;7.22;14.8;199;48.05;13.9;48.74;490;56.21;277.83;7
Andrei Krauchanka;BLR;8314;11.19;7.39;14.84;211;49.65;14.44;46.12;510;59.98;279.63;12
Artem Lukyanenko;RUS;8177;11.11;7.09;14.43;199;49.01;14.21;44.06;500;61.83;272.97;16
Kevin Mayer;FRA;8446;11.23;7.5;13.76;205;49.53;14.21;45.37;520;66.09;264.04;4
Eduard Mikhan;BLR;7968;10.97;7.42;14.15;196;48.8;14.82;48;460;50.74;273.71;18
Brent Newdick;NZL;7744;11.14;7.28;13.84;202;50.25;15.19;42.49;450;57.3;278.54;23
Marcus Nilsson;SWE;7540;11.42;6.62;14.81;187;50.56;15.04;42.49;450;54.86;260.11;24
Gunnar Nixon;USA;8312;10.84;7.8;14.68;214;48.56;14.57;42.38;460;57.97;275.82;13
Mikk Pahapill;EST;8170;11.33;7.12;14.87;199;49.84;14.54;47.57;500;62.89;273.16;17
Gael Querin;FRA;6846;11.19;7.18;13.03;190;48.78;14.87;38.34;0;50.66;258.58;25
Pelle Rietveld;NED;7840;11.15;6.68;13.21;190;48.67;14.37;38.06;510;64.38;275.94;21
Michael Schrader;GER;8670;10.73;7.85;14.56;199;47.66;14.29;46.44;500;65.67;265.38;2
Ilya Shkurenev;RUS;8370;10.97;7.35;13.88;205;48.39;14.34;44.06;540;59.46;276.95;8
Eelco Sintnicolaas;NED;8391;10.85;7.65;14.08;202;48.25;14.18;39.21;530;56.75;264.64;5
Leonel Suarez;CUB;8317;11.07;7.33;14.2;190;48.21;14.62;46.41;490;68.61;263.87;10
Sergey Sviridov;RUS;7843;10.98;7.3;14.2;190;51.13;15.23;45.26;450;69.38;286.43;20
Maicel Uibo;EST;7850;11.21;7.26;13.68;211;50.6;15.29;41.84;490;59.63;288.29;19
Keisuke Ushiro;JPN;7751;11.44;6.84;13.17;196;51.2;15.32;45.31;490;67.65;278.91;22
Thomas van der Plaetsen;BEL;8255;11.09;7.64;13.57;205;49;14.66;41.17;510;65.31;277.93;15
Damian Warner;CAN;8512;10.43;7.39;14.23;205;48.41;13.96;44.13;480;64.67;269.97;3
